Product code;Language;Quantity;Combination
"	-29973914065";fr;395;test import prices ans stocks: option 4
"	-30213415996";fr;396;test import prices ans stocks: option 5
"	-30452917927";fr;397;test import prices ans stocks: option 6
"	-30692419859";fr;398;test import prices ans stocks: option 7
"	-30931921790";fr;399;test import prices ans stocks: option 8
"	-31171423721";fr;400;
"	-31410925652";fr;417;
"	-31650427583";fr;418;test import prices ans stocks: option 1
"	-31889929514";fr;419;test import prices ans stocks: option 2
"	-32129431446";fr;420;test import prices ans stocks: option 3
"	-32368933377";fr;421;test import prices ans stocks: option 4
"	-32608435308";fr;422;test import prices ans stocks: option 5
"	-32847937239";fr;423;test import prices ans stocks: option 6
"	-33087439170";fr;424;test import prices ans stocks: option 7
"	-33326941101";fr;425;test import prices ans stocks: option 8
"	-33566443033";fr;426;
"	-33805944964";fr;443;
"	-34045446895";fr;444;test import prices ans stocks: option 1
"	-34284948826";fr;445;test import prices ans stocks: option 2
"	-34524450757";fr;446;test import prices ans stocks: option 3
"	-34763952688";fr;447;test import prices ans stocks: option 4
"	-35003454620";fr;448;test import prices ans stocks: option 5
"	-35242956551";fr;449;test import prices ans stocks: option 6
"	-35482458482";fr;450;test import prices ans stocks: option 7
"	-35721960413";fr;451;test import prices ans stocks: option 8
"	-35961462344";fr;452;
"	-36200964275";fr;469;
"	-36440466207";fr;470;test import prices ans stocks: option 1
"	-36679968138";fr;471;test import prices ans stocks: option 2
"	-36919470069";fr;472;test import prices ans stocks: option 3
"	-37158972000";fr;473;test import prices ans stocks: option 4
"	-37398473931";fr;474;test import prices ans stocks: option 5
"	-37637975862";fr;475;test import prices ans stocks: option 6
"	-37877477794";fr;476;test import prices ans stocks: option 7
"	-38116979725";fr;477;test import prices ans stocks: option 8
"	-38356481656";fr;478;
"	-38595983587";fr;495;
"	-38835485518";fr;496;test import prices ans stocks: option 1
"	-39074987449";fr;497;test import prices ans stocks: option 2
"	-39314489381";fr;498;test import prices ans stocks: option 3
"	-39553991312";fr;499;test import prices ans stocks: option 4
"	-39793493243";fr;500;test import prices ans stocks: option 5
"	-40032995174";fr;501;test import prices ans stocks: option 6
"	-40272497105";fr;502;test import prices ans stocks: option 7
"	-40511999036";fr;503;test import prices ans stocks: option 8
"	-40751500968";fr;504;
"	-40991002899";fr;521;
"	-41230504830";fr;522;test import prices ans stocks: option 1
"	-41470006761";fr;523;test import prices ans stocks: option 2
"	-41709508692";fr;524;test import prices ans stocks: option 3
"	-41949010623";fr;525;test import prices ans stocks: option 4
"	-42188512555";fr;526;test import prices ans stocks: option 5
"	-42428014486";fr;527;test import prices ans stocks: option 6
"	-42667516417";fr;528;test import prices ans stocks: option 7
"	-42907018348";fr;529;test import prices ans stocks: option 8
"	-43146520279";fr;530;
"	-43386022210";fr;547;
"	-43625524141";fr;548;test import prices ans stocks: option 1
"	-43865026073";fr;549;test import prices ans stocks: option 2
"	-44104528004";fr;550;test import prices ans stocks: option 3
"	-44344029935";fr;551;test import prices ans stocks: option 4
"	-44583531866";fr;552;test import prices ans stocks: option 5
"	-44823033797";fr;553;test import prices ans stocks: option 6
"	-45062535728";fr;554;test import prices ans stocks: option 7
"	-45302037660";fr;555;test import prices ans stocks: option 8
"	-45541539591";fr;556;
"	-45781041522";fr;573;
"	-46020543453";fr;574;test import prices ans stocks: option 1
"	-46260045384";fr;575;test import prices ans stocks: option 2
"	-46499547315";fr;576;test import prices ans stocks: option 3
"	-46739049247";fr;577;test import prices ans stocks: option 4
"	-46978551178";fr;578;test import prices ans stocks: option 5
"	-47218053109";fr;579;test import prices ans stocks: option 6
"	-47457555040";fr;580;test import prices ans stocks: option 7
"	-47697056971";fr;581;test import prices ans stocks: option 8
"	-47936558902";fr;582;
"	-48176060834";fr;599;
"	-48415562765";fr;600;test import prices ans stocks: option 1
"	-48655064696";fr;601;test import prices ans stocks: option 2
"	-48894566627";fr;602;test import prices ans stocks: option 3
"	-49134068558";fr;603;test import prices ans stocks: option 4
"	-49373570489";fr;604;test import prices ans stocks: option 5
"	-49613072421";fr;605;test import prices ans stocks: option 6
"	-50092076283";fr;607;test import prices ans stocks: option 8
"	-49852574352";fr;606;test import prices ans stocks: option 7
"	-50331578214";fr;608;
"	-50571080145";fr;625;
"	-51050084008";fr;627;test import prices ans stocks: option 2
"	-50810582076";fr;626;test import prices ans stocks: option 1
"	-51289585939";fr;628;test import prices ans stocks: option 3
"	-51529087870";fr;629;test import prices ans stocks: option 4
"	-51768589801";fr;630;test import prices ans stocks: option 5
"	-52008091732";fr;631;test import prices ans stocks: option 6
"	-52247593663";fr;632;test import prices ans stocks: option 7
"	-52487095595";fr;633;test import prices ans stocks: option 8
"	-52726597526";fr;634;
"	-52966099457";fr;651;
"	-53205601388";fr;652;test import prices ans stocks: option 1
"	-53445103319";fr;653;test import prices ans stocks: option 2
"	-53684605250";fr;654;test import prices ans stocks: option 3
"	-53924107182";fr;655;test import prices ans stocks: option 4
"	-54163609113";fr;656;test import prices ans stocks: option 5
"	-54403111044";fr;657;test import prices ans stocks: option 6
"	-54642612975";fr;658;test import prices ans stocks: option 7
"	-54882114906";fr;659;test import prices ans stocks: option 8
"	-55121616837";fr;660;
"	-55361118769";fr;677;
"	-55600620700";fr;678;test import prices ans stocks: option 1
"	-55840122631";fr;679;test import prices ans stocks: option 2
"	-56319126493";fr;681;test import prices ans stocks: option 4
"	-56079624562";fr;680;test import prices ans stocks: option 3
"	-56558628424";fr;682;test import prices ans stocks: option 5
"	-56798130355";fr;683;test import prices ans stocks: option 6
"	-57037632287";fr;684;test import prices ans stocks: option 7
"	-57277134218";fr;685;test import prices ans stocks: option 8
"	-57516636149";fr;686;
"	-57756138080";fr;703;
"	-57995640011";fr;704;test import prices ans stocks: option 1
"	-58235141942";fr;705;test import prices ans stocks: option 2
"	-58474643874";fr;706;test import prices ans stocks: option 3
"	-58714145805";fr;707;test import prices ans stocks: option 4
"	-58953647736";fr;708;test import prices ans stocks: option 5
"	-59193149667";fr;709;test import prices ans stocks: option 6
"	-59432651598";fr;710;test import prices ans stocks: option 7
"	-59672153529";fr;711;test import prices ans stocks: option 8
"	-59911655461";fr;712;
"	-60151157392";fr;729;
"	-60390659323";fr;730;test import prices ans stocks: option 1
"	-60630161254";fr;731;test import prices ans stocks: option 2
"	-60869663185";fr;732;test import prices ans stocks: option 3
"	-61109165116";fr;733;test import prices ans stocks: option 4
"	-61348667048";fr;734;test import prices ans stocks: option 5
"	-61588168979";fr;735;test import prices ans stocks: option 6
"	-61827670910";fr;736;test import prices ans stocks: option 7
"	-62067172841";fr;737;test import prices ans stocks: option 8
"	-62306674772";fr;738;
"	-62546176703";fr;755;
"	-62785678635";fr;756;test import prices ans stocks: option 1
"	-63025180566";fr;757;test import prices ans stocks: option 2
"	-63264682497";fr;758;test import prices ans stocks: option 3
"	-63504184428";fr;759;test import prices ans stocks: option 4
"	-63743686359";fr;760;test import prices ans stocks: option 5
"	-63983188290";fr;761;test import prices ans stocks: option 6
"	-64222690222";fr;762;test import prices ans stocks: option 7
"	-64462192153";fr;763;test import prices ans stocks: option 8
"	-64701694084";fr;764;
"	-64941196015";fr;781;
"	-65180697946";fr;782;test import prices ans stocks: option 1
"	-65420199877";fr;783;test import prices ans stocks: option 2
"	-65659701809";fr;784;test import prices ans stocks: option 3
"	-65899203740";fr;785;test import prices ans stocks: option 4
"	-66378207602";fr;787;test import prices ans stocks: option 6
"	-66138705671";fr;786;test import prices ans stocks: option 5
"	-66617709533";fr;788;test import prices ans stocks: option 7
"	-66857211464";fr;789;test import prices ans stocks: option 8
"	-67096713396";fr;790;
"	-67336215327";fr;807;
"	-67575717258";fr;808;test import prices ans stocks: option 1
"	-67815219189";fr;809;test import prices ans stocks: option 2
"	-68054721120";fr;810;test import prices ans stocks: option 3
"	-68294223051";fr;811;test import prices ans stocks: option 4
"	-68533724983";fr;812;test import prices ans stocks: option 5
"	-68773226914";fr;813;test import prices ans stocks: option 6
"	-69012728845";fr;814;test import prices ans stocks: option 7
"	-69252230776";fr;815;test import prices ans stocks: option 8
"	-69491732707";fr;816;
"	-69731234638";fr;833;
"	-69970736569";fr;834;test import prices ans stocks: option 1
"	-70210238501";fr;835;test import prices ans stocks: option 2
"	-70449740432";fr;836;test import prices ans stocks: option 3
"	-70689242363";fr;837;test import prices ans stocks: option 4
"	-70928744294";fr;838;test import prices ans stocks: option 5
"	-71168246225";fr;839;test import prices ans stocks: option 6
"	-71407748156";fr;840;test import prices ans stocks: option 7
"	-71647250088";fr;841;test import prices ans stocks: option 8
"	-71886752019";fr;842;
"	-72126253950";fr;859;
"	-72365755881";fr;860;test import prices ans stocks: option 1
"	-72605257812";fr;861;test import prices ans stocks: option 2
"	-72844759743";fr;862;test import prices ans stocks: option 3
"	-73084261675";fr;863;test import prices ans stocks: option 4
"	-73563265537";fr;865;test import prices ans stocks: option 6
"	-73323763606";fr;864;test import prices ans stocks: option 5
"	-74042269399";fr;867;test import prices ans stocks: option 8
"	-73802767468";fr;866;test import prices ans stocks: option 7
"	-74281771330";fr;868;
"	-74521273262";fr;885;
"	-74760775193";fr;886;test import prices ans stocks: option 1
"	-75000277124";fr;887;test import prices ans stocks: option 2
"	-75239779055";fr;888;test import prices ans stocks: option 3
"	-75479280986";fr;889;test import prices ans stocks: option 4
"	-75718782917";fr;890;test import prices ans stocks: option 5
"	-75958284849";fr;891;test import prices ans stocks: option 6
"	-76197786780";fr;892;test import prices ans stocks: option 7
"	-76437288711";fr;893;test import prices ans stocks: option 8
"	-76676790642";fr;894;
"	-76916292573";fr;911;
"	-77155794504";fr;912;test import prices ans stocks: option 1
"	-77395296436";fr;913;test import prices ans stocks: option 2
"	-77634798367";fr;914;test import prices ans stocks: option 3
"	-77874300298";fr;915;test import prices ans stocks: option 4
"	-78113802229";fr;916;test import prices ans stocks: option 5
"	-78353304160";fr;917;test import prices ans stocks: option 6
"	-78592806091";fr;918;test import prices ans stocks: option 7
"	-78832308023";fr;919;test import prices ans stocks: option 8
"	-79071809954";fr;920;
"	-79311311885";fr;937;
"	-79550813816";fr;938;test import prices ans stocks: option 1
"	-79790315747";fr;939;test import prices ans stocks: option 2
"	-80029817678";fr;940;test import prices ans stocks: option 3
"	-80269319610";fr;941;test import prices ans stocks: option 4
"	-80508821541";fr;942;test import prices ans stocks: option 5
"	-80748323472";fr;943;test import prices ans stocks: option 6
"	-80987825403";fr;944;test import prices ans stocks: option 7
"	-81227327334";fr;945;test import prices ans stocks: option 8
"	-81466829265";fr;946;
"	-81706331197";fr;963;
"	-81945833128";fr;964;test import prices ans stocks: option 1
"	-82185335059";fr;965;test import prices ans stocks: option 2
"	-82424836990";fr;966;test import prices ans stocks: option 3
"	-82664338921";fr;967;test import prices ans stocks: option 4
"	-82903840852";fr;968;test import prices ans stocks: option 5
"	-83143342783";fr;969;test import prices ans stocks: option 6
"	-83382844715";fr;970;test import prices ans stocks: option 7
"	-83622346646";fr;971;test import prices ans stocks: option 8
"	-83861848577";fr;972;
"	-84101350508";fr;989;
"	-84340852439";fr;990;test import prices ans stocks: option 1
"	-84580354370";fr;991;test import prices ans stocks: option 2
"	-84819856302";fr;992;test import prices ans stocks: option 3
"	-85059358233";fr;993;test import prices ans stocks: option 4
"	-85298860164";fr;994;test import prices ans stocks: option 5
"	-85538362095";fr;995;test import prices ans stocks: option 6
"	-85777864026";fr;996;test import prices ans stocks: option 7
"	-86017365957";fr;997;test import prices ans stocks: option 8
"	-86256867889";fr;998;
"	-86496369820";fr;1015;
"	-86735871751";fr;1016;test import prices ans stocks: option 1
"	-86975373682";fr;1017;test import prices ans stocks: option 2
"	-87214875613";fr;1018;test import prices ans stocks: option 3
"	-87454377544";fr;1019;test import prices ans stocks: option 4
"	-87693879476";fr;1020;test import prices ans stocks: option 5
"	-87933381407";fr;1021;test import prices ans stocks: option 6
"	-88172883338";fr;1022;test import prices ans stocks: option 7
"	-88412385269";fr;1023;test import prices ans stocks: option 8
"	-88651887200";fr;1024;
"	-88891389131";fr;1041;
"	-89130891063";fr;1042;test import prices ans stocks: option 1
"	-89370392994";fr;1043;test import prices ans stocks: option 2
"	-89609894925";fr;1044;test import prices ans stocks: option 3
"	-89849396856";fr;1045;test import prices ans stocks: option 4
"	-90088898787";fr;1046;test import prices ans stocks: option 5
"	-90328400718";fr;1047;test import prices ans stocks: option 6
"	-90567902650";fr;1048;test import prices ans stocks: option 7
"	-90807404581";fr;1049;test import prices ans stocks: option 8
"	-91046906512";fr;1050;
"	-91286408443";fr;1067;
"	-91525910374";fr;1068;test import prices ans stocks: option 1
"	-91765412305";fr;1069;test import prices ans stocks: option 2
"	-92004914237";fr;1070;test import prices ans stocks: option 3
"	-92244416168";fr;1071;test import prices ans stocks: option 4
"	-92483918099";fr;1072;test import prices ans stocks: option 5
"	-92723420030";fr;1073;test import prices ans stocks: option 6
"	-92962921961";fr;1074;test import prices ans stocks: option 7
"	-93202423892";fr;1075;test import prices ans stocks: option 8
"	-93441925824";fr;1076;
"	-93681427755";fr;1093;
"	-93920929686";fr;1094;test import prices ans stocks: option 1
"	-94160431617";fr;1095;test import prices ans stocks: option 2
"	-94399933548";fr;1096;test import prices ans stocks: option 3
"	-94639435479";fr;1097;test import prices ans stocks: option 4
"	-94878937411";fr;1098;test import prices ans stocks: option 5
"	-95118439342";fr;1099;test import prices ans stocks: option 6
"	-95357941273";fr;1100;test import prices ans stocks: option 7
"	-95597443204";fr;1101;test import prices ans stocks: option 8
"	-95836945135";fr;1102;
"	-96076447066";fr;1119;
"	-96315948997";fr;1120;test import prices ans stocks: option 1
"	-96555450929";fr;1121;test import prices ans stocks: option 2
"	-96794952860";fr;1122;test import prices ans stocks: option 3
"	-97034454791";fr;1123;test import prices ans stocks: option 4
"	-97273956722";fr;1124;test import prices ans stocks: option 5
"	-97513458653";fr;1125;test import prices ans stocks: option 6
"	-97752960584";fr;1126;test import prices ans stocks: option 7
"	-97992462516";fr;1127;test import prices ans stocks: option 8
"	-98231964447";fr;1128;
"	-98471466378";fr;1145;
"	-98710968309";fr;1146;test import prices ans stocks: option 1
"	-98950470240";fr;1147;test import prices ans stocks: option 2
"	-99189972171";fr;1148;test import prices ans stocks: option 3
"	-99429474103";fr;1149;test import prices ans stocks: option 4
"	-99668976034";fr;1150;test import prices ans stocks: option 5
"	-99908477965";fr;1151;test import prices ans stocks: option 6
"	-1,00148E+11";fr;1152;test import prices ans stocks: option 7
"	-1,00387E+11";fr;1153;test import prices ans stocks: option 8
"	-1,00627E+11";fr;1154;
"	-1,00866E+11";fr;1171;
"	-1,01106E+11";fr;1172;test import prices ans stocks: option 1
"	-1,01345E+11";fr;1173;test import prices ans stocks: option 2
"	-1,01585E+11";fr;1174;test import prices ans stocks: option 3
"	-1,01824E+11";fr;1175;test import prices ans stocks: option 4
"	-1,02064E+11";fr;1176;test import prices ans stocks: option 5
"	-1,02303E+11";fr;1177;test import prices ans stocks: option 6
"	-1,02543E+11";fr;1178;test import prices ans stocks: option 7
"	-1,02783E+11";fr;1179;test import prices ans stocks: option 8
"	-1,03022E+11";fr;1180;
"	-1,03262E+11";fr;1197;
"	-1,03501E+11";fr;1198;test import prices ans stocks: option 1
"	-1,03741E+11";fr;1199;test import prices ans stocks: option 2
"	-1,0398E+11";fr;1200;test import prices ans stocks: option 3
"	-1,0422E+11";fr;1201;test import prices ans stocks: option 4
"	-1,04459E+11";fr;1202;test import prices ans stocks: option 5
"	-1,04699E+11";fr;1203;test import prices ans stocks: option 6
"	-1,04938E+11";fr;1204;test import prices ans stocks: option 7
"	-1,05178E+11";fr;1205;test import prices ans stocks: option 8
"	-1,05417E+11";fr;1206;
"	-1,05657E+11";fr;1223;
"	-1,05896E+11";fr;1224;test import prices ans stocks: option 1
"	-1,06136E+11";fr;1225;test import prices ans stocks: option 2
"	-1,06375E+11";fr;1226;test import prices ans stocks: option 3
"	-1,06615E+11";fr;1227;test import prices ans stocks: option 4
"	-1,06854E+11";fr;1228;test import prices ans stocks: option 5
"	-1,07094E+11";fr;1229;test import prices ans stocks: option 6
"	-1,07333E+11";fr;1230;test import prices ans stocks: option 7
"	-1,07573E+11";fr;1231;test import prices ans stocks: option 8
"	-1,07812E+11";fr;1232;
"	-1,08052E+11";fr;1249;
"	-1,08291E+11";fr;1250;test import prices ans stocks: option 1
"	-1,08531E+11";fr;1251;test import prices ans stocks: option 2
"	-1,0877E+11";fr;1252;test import prices ans stocks: option 3
"	-1,0901E+11";fr;1253;test import prices ans stocks: option 4
"	-1,09249E+11";fr;1254;test import prices ans stocks: option 5
"	-1,09489E+11";fr;1255;test import prices ans stocks: option 6
"	-1,09728E+11";fr;1256;test import prices ans stocks: option 7
"	-1,09968E+11";fr;1257;test import prices ans stocks: option 8
"	-1,10207E+11";fr;1258;
"	-1,10447E+11";fr;1275;
"	-1,10686E+11";fr;1276;test import prices ans stocks: option 1
"	-1,10926E+11";fr;1277;test import prices ans stocks: option 2
"	-1,11165E+11";fr;1278;test import prices ans stocks: option 3
"	-1,11405E+11";fr;1279;test import prices ans stocks: option 4
"	-1,11644E+11";fr;1280;test import prices ans stocks: option 5
"	-1,11884E+11";fr;1281;test import prices ans stocks: option 6
"	-1,12123E+11";fr;1282;test import prices ans stocks: option 7
"	-1,12363E+11";fr;1283;test import prices ans stocks: option 8
"	-1,12602E+11";fr;1284;
"	-1,12842E+11";fr;1301;
"	-1,13081E+11";fr;1302;test import prices ans stocks: option 1
"	-1,13321E+11";fr;1303;test import prices ans stocks: option 2
"	-1,1356E+11";fr;1304;test import prices ans stocks: option 3
"	-1,138E+11";fr;1305;test import prices ans stocks: option 4
"	-1,14039E+11";fr;1306;test import prices ans stocks: option 5
"	-1,14279E+11";fr;1307;test import prices ans stocks: option 6
"	-1,14518E+11";fr;1308;test import prices ans stocks: option 7
"	-1,14758E+11";fr;1309;test import prices ans stocks: option 8
"	-1,14997E+11";fr;1310;
"	-1,15237E+11";fr;1327;
"	-1,15476E+11";fr;1328;test import prices ans stocks: option 1
"	-1,15716E+11";fr;1329;test import prices ans stocks: option 2
"	-1,15955E+11";fr;1330;test import prices ans stocks: option 3
"	-1,16195E+11";fr;1331;test import prices ans stocks: option 4
"	-1,16434E+11";fr;1332;test import prices ans stocks: option 5
"	-1,16674E+11";fr;1333;test import prices ans stocks: option 6
"	-1,16913E+11";fr;1334;test import prices ans stocks: option 7
"	-1,17153E+11";fr;1335;test import prices ans stocks: option 8
"	-1,17392E+11";fr;1336;
"	-1,17632E+11";fr;1353;
"	-1,17871E+11";fr;1354;test import prices ans stocks: option 1
"	-1,18111E+11";fr;1355;test import prices ans stocks: option 2
"	-1,1835E+11";fr;1356;test import prices ans stocks: option 3
"	-1,1859E+11";fr;1357;test import prices ans stocks: option 4
"	-1,18829E+11";fr;1358;test import prices ans stocks: option 5
"	-1,19069E+11";fr;1359;test import prices ans stocks: option 6
"	-1,19308E+11";fr;1360;test import prices ans stocks: option 7
"	-1,19548E+11";fr;1361;test import prices ans stocks: option 8
"	-1,19787E+11";fr;1362;
"	-1,20027E+11";fr;1379;
"	-1,20266E+11";fr;1380;test import prices ans stocks: option 1
"	-1,20506E+11";fr;1381;test import prices ans stocks: option 2
"	-1,20745E+11";fr;1382;test import prices ans stocks: option 3
"	-1,20985E+11";fr;1383;test import prices ans stocks: option 4
"	-1,21224E+11";fr;1384;test import prices ans stocks: option 5
"	-1,21464E+11";fr;1385;test import prices ans stocks: option 6
